Country,Category,Description,Units,Year,Month,Quantity,Value,M2
Bahamas,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,4,88,1880,88
Bahamas,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,12,1460,12
Bahamas,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,6,45,2050,45
Bahrain,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,1,173,3836,173
Bahrain,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,2,145,6561,145
Bahrain,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,164,3670,164
Bahrain,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,4,16,893,16
Bahrain,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,170,3133,170
Bahrain,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,6,816,5994,816
Bangladesh,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,1,262550735,787986832,262550735
Bangladesh,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,2,194037095,582250536,194037095
Bangladesh,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,232373287,664557813,232373287
Bangladesh,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,4,204201827,627510267,204201827
Bangladesh,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,191034726,581944354,191034726
Bangladesh,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,6,241498498,763565753,241498498
Barbados,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,1,15,378,15
Barbados,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,2,50,3349,50
Barbados,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,13,720,13
Barbados,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,30,1000,30
Barbados,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,6,112,2008,112
Belarus,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,2,369,1755,369
Belarus,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,50207,85498,50207
Belarus,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,4,6,300,6
Belarus,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,30312,53695,30312
Belgium,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,1,8697,215954,8697
Belgium,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,2,66957,376293,66957
Belgium,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,19240,703994,19240
Belgium,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,4,15918,607909,15918
Belgium,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,12179,303903,12179
Belgium,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,6,11932,288692,11932
Belize,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,1,67,894,67
Belize,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,636,12162,636
Belize,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,19,516,19
Belize,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,6,38,524,38
Benin,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,1,6228,32497,6228
Benin,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,169714,324966,169714
Benin,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,4,25165,75988,25165
Benin,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,237490,624024,237490
Bermuda,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,1,81,2376,81
Bermuda,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,2,50,656,50
Bermuda,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,15,2625,15
Bermuda,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,4,53866,70723,53866
Bermuda,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,232,6788,232
Bermuda,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,6,15,325,15
Bhutan,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,4,26,280,26
Bolivia,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,1,8819,198962,8819
Bolivia,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,2,20831,63238,20831
Bolivia,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,19253,355819,19253
Bolivia,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,4,2847,18783,2847
Bolivia,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,28752,394109,28752
Bolivia,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,6,9965,173367,9965
Bosnia-Hercegovina,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,1,38124,660276,38124
Bosnia-Hercegovina,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,2,94560,1167060,94560
Bosnia-Hercegovina,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,43638,943171,43638
Bosnia-Hercegovina,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,4,37236,664293,37236
Bosnia-Hercegovina,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,48807,981959,48807
Bosnia-Hercegovina,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,6,26577,468448,26577
Botswana,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,15,288,15
Brazil,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,1,108673,779774,108673
Brazil,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,2,121698,804364,121698
Brazil,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,286703,1799263,286703
Brazil,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,4,240462,1715174,240462
Brazil,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,320167,2120142,320167
Brazil,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,6,307783,1874670,307783
